id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
4429,5487.1168,1651.9533,0.57989185,0.12033452,0.097066907,25,0,12,2.0639055,-0.78672451
4430,6185.4575,1652.1919,0.53926706,0.13203292,0.083350776,25,0,13,2.191293,-0.85175113
4431,7546.0925,1651.2912,0.45372672,0.44905657,0.18738546,25,0,10,1.5025463,-0.44206967
4432,1862.1911,1653.1123,0.43868533,-0.2364313,0.41071038,25,0,15,2.2447603,-0.87792492
4433,2644.3155,1652.9223,0.52817524,0.02944316,0,25,0,6,1.0899718,-0.093538136
4434,5701.2732,1652.6385,0.4807071,-0.10126271,0.27895894,25,0,8,1.4497296,-0.40321749
4435,2994.8791,1653.5526,0.45611901,0.095554061,0.213495,25,0,65,11.326244,-2.6352148
4436,5707.8127,1653.8311,0.53055595,-0.07788533,-0.11079511,25,0,28,4.7971997,-1.7024695
4437,5765.621,1654.2347,0.50210543,-0.13421768,-0.0062079145,25,0,15,2.8362379,-1.1318566
4438,7133.7463,1654.5074,0.47776366,-0.0047950689,0.020309395,25,0,277,44.774559,-4.1275783
4439,2533.7703,1655.0927,0.55389322,-0.58440864,0.02900511,25,0,7,1.2581763,-0.24935377
4440,2734.5414,1654.3181,0.52647931,-0.36519751,0.19374897,25,0,8,1.294914,-0.28060232
4441,2873.1183,1655.0142,0.6182965,0.27732766,0.29950982,25,0,7,1.2006295,-0.1985225
4442,4548.5543,1655.3836,0.51013922,0.23643495,-0.018452171,25,0,13,2.3461084,-0.9258702
4443,4548.421,1655.3539,0.51013922,-0.50264555,-0.12263641,25,0,13,2.3461084,-0.9258702
4444,5621.2533,1654.6201,0.51873086,-0.21679047,0.051160988,25,0,3272,579.03223,-6.9067568
4445,6598.1187,1655.0682,0.38767444,-0.26627216,-0.049189039,25,0,5,1.0160519,-0.017289718
4446,6798.1125,1655.3151,0.56102637,-0.24591959,0.089561234,25,0,11,1.836265,-0.65983837
4447,6901.3416,1655.3133,0.53357458,0.11276435,-0.086594412,25,0,102,16.297707,-3.0303162
